Tiempo(s)	Voltaje(V)
1.070000000000000062e+00	-4.801088737440295517e-01
1.080000000000000071e+00	-4.788220573100261390e-01
1.090000000000000080e+00	-4.794654655270278454e-01
1.100000000000000089e+00	-4.781786490930244327e-01
1.110000000000000098e+00	-4.785003532015252858e-01
1.120000000000000107e+00	-4.775352408760227263e-01
1.129999999999999893e+00	-4.778569449845235795e-01
1.139999999999999902e+00	-4.778569449845235795e-01
1.149999999999999911e+00	-4.768918326590210199e-01
1.159999999999999920e+00	-4.772135367675218731e-01
1.169999999999999929e+00	-4.768918326590210199e-01
1.179999999999999938e+00	-4.762484244420193136e-01
1.189999999999999947e+00	-4.762484244420193136e-01
1.199999999999999956e+00	-4.756050162250176072e-01
1.209999999999999964e+00	-4.746399038995150477e-01
1.219999999999999973e+00	-4.752833121165167540e-01
1.229999999999999982e+00	-4.739964956825133413e-01
1.239999999999999991e+00	-4.743181997910141945e-01
1.250000000000000000e+00	-4.736747915740124881e-01
1.260000000000000009e+00	-4.739964956825133413e-01
1.270000000000000018e+00	-4.743181997910141945e-01
1.280000000000000027e+00	-4.727096792485099286e-01
1.290000000000000036e+00	-4.730313833570107818e-01
1.300000000000000044e+00	-4.717445669230073690e-01
1.310000000000000053e+00	-4.717445669230073690e-01
1.320000000000000062e+00	-4.720662710315082222e-01
1.330000000000000071e+00	-4.714228628145065159e-01
1.340000000000000080e+00	-4.720662710315082222e-01
1.350000000000000089e+00	-4.711011587060056627e-01
1.360000000000000098e+00	-4.707794545975048095e-01
1.370000000000000107e+00	-4.707794545975048095e-01
1.379999999999999893e+00	-4.698143422720022500e-01
1.389999999999999902e+00	-4.704577504890039563e-01
1.399999999999999911e+00	-4.701360463805031031e-01
1.409999999999999920e+00	-4.694926381635013968e-01
1.419999999999999929e+00	-4.698143422720022500e-01
1.429999999999999938e+00	-4.678841176209971309e-01
1.439999999999999947e+00	-4.691709340550005436e-01
1.449999999999999956e+00	-4.682058217294979841e-01
1.459999999999999964e+00	-4.672407094039954245e-01
1.469999999999999973e+00	-4.675624135124962777e-01
1.479999999999999982e+00	-4.659538929699920118e-01
